id;parent_id;name;region_id
1;6;Законодательное собрание Санкт-Петербурга;1
2;3;Санкт-Петербургская избирательная комиссия;1
3;NULL;Центральная избирательная комиссия;NULL
4;589;Министерство внутренних дел;NULL
5;NULL;Council of the Federation;NULL
6;NULL;Законодательные органы субъектов федерации;NULL
7;464;Федеральная миграционная служба;NULL
8;830;Прокуратуры субъектов;NULL
10;8;Прокуратура Республики Алтай;6
11;NULL;Главы субъектов федерации;NULL
12;11;Глава республики Адыгея;3
14;NULL;Государственная Дума;NULL
15;NULL;Accounts chamber;NULL
17;11;Губернатор Санкт-Петербурга;1
18;8;Прокуратура Брянской области;35
19;8;Прокуратура Владимирской области;36
20;8;Прокуратура Алтайского края;24
21;8;Прокуратура Амурской области;33
22;8;Прокуратура Архангельской области;37
23;8;Прокуратура Астраханской области;38
24;8;Прокуратура Республики Башкортостан;4
25;8;Прокуратура Республики Бурятия;5
26;8;Прокуратура Волгоградской области;41
27;8;Прокуратура Вологодской области;42
28;8;Прокуратура Воронежской области;43
29;8;Прокуратура Забайкальского края;44
30;8;Прокуратура Иркутской области;45
31;8;Прокуратура Калининградской области;46
32;8;Прокуратура Республики Калмыкия;47
33;8;Прокуратура Камчатского края;48
35;8;Прокуратура Карачаево-Черкесской республики;11
36;8;Прокуратура Кемеровской области;50
37;8;Прокуратура Кировской области;51
38;8;Прокуратура Республики Коми;13
39;8;Прокуратура Костромской области;53
40;8;Прокуратура Красноярского края;28
41;8;Прокуратура Курской области;55
42;8;Прокуратура Ленинградской области;56
43;8;Прокуратура Липецкой области;57
44;8;Прокуратура Магаданской области;58
45;8;Прокуратура Республики Дагестан;59
46;8;Прокуратура Краснодарского края;27
47;8;Прокуратура Республики Марий Эл;61
48;8;Прокуратура Республики Мордовия;62
49;8;Прокуратура города Москвы;63
50;8;Прокуратура Московской области;64
51;8;Прокуратура Мурманской области;65
52;8;Прокуратура Нижегородской области;66
53;8;Прокуратура Новгородской области;67
54;8;Прокуратура Новосибирской области;68
55;8;Прокуратура Омской области;69
56;8;Прокуратура Орловской области;70
57;8;Прокуратура Пензенской области;72
60;8;Прокуратура Пермского края;29
61;8;Прокуратура Приморского края;74
62;8;Прокуратура Псковской области;75
63;8;Прокуратура Ростовской области;76
64;8;Прокуратура Самарской области;77
65;8;Прокуратура города Санкт-Петербурга;1
66;8;Прокуратура Саратовской области;79
67;8;Прокуратура Свердловской области;80
68;8;Прокуратура Ставропольского края;81
69;8;Прокуратура Тамбовской области;82
70;8;Прокуратура Республики Татарстан;18
71;8;Прокуратура Тульской области;84
72;8;Прокуратура Республики Тува (Тыва);85
73;8;Прокуратура Тюменской области;86
74;8;Прокуратура Удмуртской республики;20
75;8;Прокуратура Ульяновской области;88
76;8;Прокуратура Челябинской области;89
77;8;Прокуратура Чеченской республики;90
78;8;Прокуратура Чувашской республики;91
79;8;Прокуратура Республики Саха (Якутия);92
80;8;Прокуратура Еврейской автономной области;93
81;8;Прокуратура Сахалинской области;94
82;8;Прокуратура Чукотского автономного округа;95
83;8;Прокуратура Белгородской области;96
84;8;Прокуратура Калужской области;97
85;8;Прокуратура Курганской области;98
86;8;Прокуратура Ивановской области;99
87;8;Прокуратура Смоленской области;100
88;8;Прокуратура Тверской области;101
89;11;Глава республики Мордовия;62
90;11;Глава республики Калмыкия;47
91;11;Губернатор Ненецкого автономного округа;102
92;11;Глава республики Алтай;6
93;11;Губернатор Краснодарского края;27
94;11;Губернатор Нижегородской области;66
95;11;Губернатор Ростовской области;76
96;11;Губернатор Рязанской области;103
97;11;Губернатор Свердловской области;80
98;11;Губернатор Ямало-Ненецкого АО;104
99;11;Губернатор Кировской области;51
100;11;Глава республики Карелия;12
101;11;Губернатор Кемеровской области;50
102;11;Губернатор Красноярского края;28
103;11;Глава республики Коми;13
